Date,Open,High,Low,Close,AdjClose,Volume,Dividends
2020-11-06,9874,10267,9741,9741,9741,567451,0.0
2020-11-09,9957,10048,9922,9987,9987,504781,0.0
2020-11-10,9639,9643,9477,9502,9502,636191,0.0
2020-11-11,9405,9448,9377,9409,9409,307537,0.0
2020-11-12,9615,9615,9532,9580,9580,187930,0.0
2020-11-13,9899,9908,9557,9615,9615,214199,0.0
2020-11-16,9736,9736,9657,9687,9687,260504,0.0
2020-11-17,9691,9701,9634,9657,9657,232084,0.0
2020-11-18,9625,9629,9566,9566,9566,203995,0.0
2020-11-19,9566,9629,9561,9625,9625,332332,0.0
2020-11-20,9682,9706,9657,9691,9691,256334,0.0
2020-11-23,9657,9657,9629,9629,9629,593924,0.0
2020-11-24,9662,9662,9629,9639,9639,711495,0.0
2020-11-25,9751,9785,9716,9736,9736,689138,0.0
2020-11-26,9790,9810,9766,9776,9776,420100,0.0
2020-11-27,9766,9771,9731,9766,9766,466612,0.0
2020-11-30,9869,9869,9790,9795,9795,596435,0.0
2020-12-01,9932,9967,9917,9942,9942,405029,0.0
2020-12-02,9997,9997,9917,9942,9942,517051,0.0
2020-12-03,9942,9967,9927,9932,9932,359680,0.0
2020-12-04,9937,9937,9820,9820,9820,409102,0.0
2020-12-07,9825,9869,9825,9840,9840,171016,0.0
2020-12-08,9947,9952,9879,9908,9908,164175,0.0
2020-12-09,9947,9977,9922,9952,9952,163505,0.0
2020-12-10,9756,9780,9706,9741,9741,348981,0.0
2020-12-11,9805,9835,9766,9800,9800,172771,0.0
2020-12-14,9830,9845,9815,9825,9825,80738,0.0
2020-12-15,9884,9903,9864,9874,9874,52357,0.0
2020-12-16,9922,10016,9922,10012,10012,75006,0.0
2020-12-17,10044,10077,10044,10072,10072,87820,0.0
2020-12-18,10127,10160,10127,10160,10160,60403,0.0
2020-12-21,10194,10228,10156,10223,10223,66318,0.0
2020-12-22,10184,10223,10179,10189,10189,72827,0.0
2020-12-23,10223,10237,10174,10218,10218,58511,0.0
2020-12-24,10164,10169,10122,10127,10127,187320,0.0
2020-12-28,10127,10223,10127,10169,10169,179277,0.0
2020-12-29,10189,10262,10189,10223,10223,48939,0.0
2020-12-30,10198,10198,10156,10174,10174,82377,0.0
2021-01-04,10146,10151,10097,10127,10127,92405,0.0
2021-01-05,10021,10036,9997,10031,10031,218956,0.0
2021-01-06,10087,10127,9932,9992,9992,237158,0.0
2021-01-07,9972,10063,9972,10040,10040,83897,0.0
2021-01-08,10320,10340,10137,10267,10267,209618,0.0
2021-01-11,10370,10414,10370,10385,10385,793869,0.0
2021-01-12,10311,10330,10282,10320,10320,1334495,0.0
2021-01-13,10257,10282,10237,10272,10272,1249621,0.0
2021-01-14,10325,10385,10325,10325,10325,850160,0.0
2021-01-15,10287,10292,10223,10247,10247,1251251,0.0
2021-01-18,10223,10247,10213,10242,10242,702112,0.0
2021-01-19,10267,10355,10267,10345,10345,643263,0.0
2021-01-20,10419,10434,10389,10434,10434,707941,0.0
2021-01-21,10630,10693,10605,10654,10654,433127,0.0
2021-01-22,10693,10721,10668,10698,10698,384762,0.0
2021-01-25,10754,10799,10735,10754,10754,341024,0.0
2021-01-26,10769,10774,10721,10749,10749,766335,0.0
2021-01-27,10842,10871,10837,10862,10862,502284,0.0
2021-01-28,10468,10600,10453,10600,10600,541087,0.0
2021-01-29,10639,11243,10502,10546,10546,807940,0.0
2021-02-01,10399,10526,10375,10502,10502,511172,0.0
2021-02-02,10754,10819,10726,10794,10794,442215,0.0
2021-02-03,10924,10963,10895,10958,10958,802499,0.0
2021-02-04,10866,10886,10842,10876,10876,623581,0.0
2021-02-05,11180,11180,10938,11102,11102,636603,0.0
2021-02-08,11068,11122,11053,11117,11117,539811,0.0
2021-02-09,11102,11107,11058,11087,11087,620062,0.0
2021-02-10,11043,11082,11033,11043,11043,443504,0.0
2021-02-15,11087,11112,11068,11068,11068,478238,0.0
2021-02-16,11082,11112,11068,11092,11092,517842,0.0
2021-02-17,11053,11072,11018,11072,11072,467832,0.0
2021-02-18,10998,11003,10914,10968,10968,596222,0.0
2021-02-19,10943,10943,10886,10929,10929,378681,0.0
2021-02-22,11038,11038,10876,10890,10890,625349,0.0
2021-02-23,10678,10814,10649,10721,10721,607018,0.0
2021-02-24,10590,10664,10526,10526,10526,643883,0.0
2021-02-25,10857,10857,10678,10717,10717,794970,0.0
2021-02-26,10516,10516,10311,10404,10404,619079,0.0
2021-03-02,10764,10804,10749,10789,10789,1338692,0.0
2021-03-03,10678,10707,10649,10688,10688,731638,0.0
2021-03-04,10511,10511,10237,10292,10292,697656,0.0
2021-03-05,10146,10198,10102,10164,10164,417891,0.0
2021-03-08,10497,10575,10127,10301,10301,588090,0.0
2021-03-09,10213,10306,10208,10257,10257,724894,0.0
2021-03-10,10566,10580,10516,10556,10556,713863,0.0
2021-03-11,10521,10595,10516,10590,10590,334292,0.0
2021-03-12,10824,10824,10664,10668,10668,288592,0.0
2021-03-15,10668,10693,10630,10630,10630,294778,0.0
2021-03-16,10717,10799,10717,10759,10759,236859,0.0
2021-03-17,10774,10794,10759,10784,10784,244732,0.0
2021-03-18,10789,10814,10739,10774,10774,269567,0.0
2021-03-19,10473,10531,10434,10468,10468,202850,0.0
2021-03-22,10551,10615,10541,10585,10585,244997,0.0
2021-03-23,10717,10717,10644,10659,10659,169271,0.0
2021-03-24,10707,10739,10707,10726,10726,187482,0.0
2021-03-25,10556,10566,10516,10546,10546,476680,0.0
2021-03-26,10551,10595,10521,10556,10556,111478,0.0
2021-03-29,10707,10707,10536,10561,10561,486093,0.0
2021-03-30,10649,10654,10620,10620,10620,238609,0.0
2021-03-31,10620,10625,10570,10585,10585,146238,0.0
2021-04-01,10749,10799,10717,10799,10799,417155,0.0
2021-04-02,10953,10953,10914,10929,10929,462760,0.0
2021-04-05,10929,10934,10895,10904,10904,210987,0.0
2021-04-06,11117,11117,11018,11018,11018,300632,0.0
2021-04-07,11028,11033,10973,11003,11003,119112,0.0
2021-04-08,11003,11131,11003,11131,11131,434124,0.0
2021-04-09,11185,11200,11156,11170,11170,312577,0.0
2021-04-12,11190,11276,11190,11267,11267,479780,0.0
2021-04-13,11271,11295,11257,11267,11267,333698,0.0
2021-04-14,11355,11389,11320,11320,11320,337575,0.0
2021-04-15,11195,11229,11185,11229,11229,261643,0.0
2021-04-16,11365,11370,11305,11310,11310,420755,0.0
2021-04-19,11325,11412,11325,11385,11385,455920,0.0
2021-04-20,11276,11281,11220,11224,11224,616700,0.0
2021-04-21,11151,11175,11112,11175,11175,428890,0.0
2021-04-22,11233,11295,11229,11291,11291,388081,0.0
2021-04-23,11200,11200,11146,11146,11146,438642,0.0
2021-04-26,11243,11276,11229,11233,11233,413400,0.0
2021-04-27,11281,11315,11281,11300,11300,532793,0.0
2021-04-28,11281,11291,11252,11267,11267,301072,0.0
2021-04-29,11243,11276,11229,11267,11267,208073,0.0
2021-04-30,11195,11224,11165,11224,11224,278518,0.0
2021-05-03,11229,11295,11229,11295,11295,172241,0.0
2021-05-04,11295,11340,11175,11224,11224,231586,0.0
2021-05-06,11141,11141,10988,11033,11033,334569,0.0
2021-05-07,11058,11117,11058,11072,11072,173443,0.0
2021-05-10,11097,11136,11068,11068,11068,250536,0.0
2021-05-11,10953,10953,10707,10779,10779,303730,0.0
2021-05-12,10779,10862,10759,10833,10833,254516,0.0
2021-05-13,10683,10721,10673,10698,10698,285300,0.0
2021-05-14,10731,10824,10726,10789,10789,201592,0.0
2021-05-17,10958,11018,10929,11013,11013,222323,0.0
2021-05-18,10993,11003,10948,10988,10988,191692,0.0
2021-05-20,10988,10988,10829,10862,10862,213688,0.0
2021-05-21,11038,11068,10895,11043,11043,394792,0.0
2021-05-24,10924,11003,10924,10983,10983,215490,0.0
2021-05-25,11131,11170,11107,11165,11165,226112,0.0
2021-05-26,11161,11165,11068,11097,11097,184621,0.0
2021-05-27,11097,11127,11072,11077,11077,193014,0.0
2021-05-28,11102,11112,11063,11063,11063,181805,0.0
2021-05-31,11072,11102,11033,11043,11043,187785,0.0
2021-06-01,11008,11013,10968,10988,10988,198668,0.0
2021-06-02,10983,11018,10958,11018,11018,178369,0.0
2021-06-03,11023,11058,11023,11053,11053,197863,0.0
2021-06-04,10938,10958,10924,10934,10934,207487,0.0
2021-06-07,11082,11097,11058,11077,11077,74139,0.0
2021-06-08,11131,11190,11131,11180,11180,83283,0.0
2021-06-09,11185,11205,11165,11175,11175,54967,0.0
2021-06-10,11175,11190,11170,11175,11175,41227,0.0
2021-06-11,11257,11276,11243,11257,11257,71403,0.0
2021-06-14,11335,11365,11325,11345,11345,48100,0.0
2021-06-15,11422,11470,11422,11450,11450,85828,0.0
2021-06-16,11404,11404,11380,11389,11389,80140,0.0
2021-06-17,11385,11432,11355,11417,11417,66845,0.0
