Date,Open,High,Low,Close,AdjClose,Volume,Dividends
2024-08-06,98617,98637,98617,98632,98632,62300,0.0
2024-08-07,98632,98632,98627,98632,98632,50275,0.0
2024-08-08,98642,98646,98642,98646,98646,55516,0.0
2024-08-09,98671,98676,98671,98676,98676,176647,0.0
2024-08-12,98686,98686,98681,98686,98686,64628,0.0
2024-08-13,98706,98706,98701,98701,98701,60933,0.0
2024-08-14,98720,98725,98720,98725,98725,65492,0.0
2024-08-16,98755,98755,98750,98755,98755,69501,0.0
2024-08-19,98760,98765,98760,98765,98765,88105,0.0
2024-08-20,98775,98775,98770,98775,98775,75553,0.0
2024-08-21,98784,98784,98779,98779,98779,62508,0.0
2024-08-22,98794,98794,98789,98794,98794,68476,0.0
2024-08-23,98819,98824,98819,98824,98824,69716,0.0
2024-08-26,98829,98834,98829,98834,98834,66973,0.0
2024-08-27,98834,98839,98834,98839,98839,62526,0.0
2024-08-28,98848,98848,98844,98848,98848,91353,0.0
2024-08-29,98853,98858,98853,98858,98858,117087,0.0
2024-08-30,98883,98888,98883,98888,98888,35137,0.0
2024-09-02,98898,98898,98893,98898,98898,102099,0.0
2024-09-03,98908,98913,98908,98913,98913,89231,0.0
2024-09-04,98917,98922,98917,98922,98922,123534,0.0
2024-09-05,98927,98932,98927,98932,98932,131521,0.0
2024-09-06,98957,98962,98957,98962,98962,137360,0.0
2024-09-09,98967,98972,98967,98972,98972,27693,0.0
2024-09-10,98977,98982,98977,98982,98982,11608,0.0
2024-09-11,98986,98991,98986,98991,98991,19203,0.0
2024-09-12,99006,99011,99006,99011,99011,131357,0.0
2024-09-13,99060,99060,99055,99060,99060,28270,0.0
2024-09-19,99065,99070,99065,99070,99070,39599,0.0
2024-09-20,99090,99095,99090,99095,99095,23796,0.0
2024-09-23,99100,99105,99100,99100,99100,16401,0.0
2024-09-24,99115,99120,99115,99120,99120,14897,0.0
2024-09-25,99124,99129,99124,99129,99129,17187,0.0
2024-09-26,99134,99139,99134,99139,99139,24609,0.0
2024-09-27,99164,99169,99164,99169,99169,11227,0.0
2024-09-30,99189,99193,99189,99193,99193,25256,0.0
2024-10-02,99208,99218,99208,99218,99218,18738,0.0
2024-10-04,99238,99243,99238,99243,99243,16920,0.0
2024-10-07,99248,99253,99248,99253,99253,41260,0.0
2024-10-08,99267,99272,99267,99272,99272,15001,0.0
2024-10-10,99282,99282,99277,99282,99282,72127,0.0
2024-10-11,99307,99312,99307,99307,99307,128294,0.0
2024-10-14,99327,99331,99327,99331,99331,221321,0.0
2024-10-15,99336,99341,99336,99341,99341,231586,0.0
2024-10-16,99351,99351,99346,99351,99351,230381,0.0
2024-10-17,99361,99361,99356,99361,99361,256490,0.0
2024-10-18,99386,99391,99386,99391,99391,227155,0.0
2024-10-21,99400,99400,99396,99400,99400,248556,0.0
2024-10-22,99405,99410,99405,99410,99410,233475,0.0
2024-10-23,99420,99420,99415,99420,99420,251681,0.0
2024-10-24,99425,99430,99425,99430,99430,237085,0.0
2024-10-25,99455,99460,99455,99460,99460,24907,0.0
2024-10-28,99469,99469,99465,99469,99469,233761,0.0
2024-10-29,99474,99479,99474,99479,99479,219965,0.0
2024-10-30,99489,99489,99484,99489,99489,238554,0.0
2024-10-31,99494,99499,99494,99499,99499,234547,0.0
2024-11-01,99524,99529,99524,99529,99529,240262,0.0
2024-11-04,99534,99538,99534,99538,99538,242952,0.0
2024-11-05,99548,99548,99543,99548,99548,124141,0.0
2024-11-06,99558,99558,99553,99558,99558,55866,0.0
2024-11-07,99563,99568,99563,99568,99568,151079,0.0
2024-11-08,99593,99598,99593,99593,99593,150166,0.0
2024-11-11,99598,99603,99598,99598,99598,154767,0.0
2024-11-12,99607,99612,99607,99612,99612,137059,0.0
2024-11-13,99617,99622,99617,99622,99622,34401,0.0
2024-11-14,99627,99632,99627,99632,99632,42540,0.0
2024-11-15,99657,99662,99657,99662,99662,50130,0.0
2024-11-18,99667,99672,99667,99672,99672,62640,0.0
2024-11-19,99681,99681,99676,99676,99676,26527,0.0
2024-11-20,99686,99691,99686,99691,99691,26837,0.0
2024-11-21,99696,99701,99696,99701,99701,40431,0.0
2024-11-22,99726,99731,99726,99731,99731,55111,0.0
2024-11-25,99741,99741,99736,99736,99736,79247,0.0
2024-11-26,99745,99750,99745,99750,99750,41577,0.0
2024-11-27,99755,99755,99750,99755,99755,35830,0.0
2024-11-28,99765,99770,99765,99770,99770,51926,0.0
2024-11-29,99800,99805,99800,99805,99805,47887,0.0
2024-12-02,99810,99814,99810,99814,99814,56910,0.0
2024-12-03,99819,99824,99819,99824,99824,42567,0.0
2024-12-04,99834,99839,99834,99839,99839,51188,0.0
2024-12-05,99844,99849,99844,99849,99849,40766,0.0
2024-12-06,99874,99879,99874,99879,99879,53877,0.0
2024-12-09,99883,99888,99883,99888,99888,43038,0.0
2024-12-10,99893,99898,99893,99898,99898,74326,0.0
2024-12-11,99903,99908,99903,99908,99908,41952,0.0
