Date,Open,High,Low,Close,AdjClose,Volume,Dividends
2017-06-29,98397,98407,98328,98367,98367,20297,0.0
2017-06-30,98397,98407,98293,98323,98323,19105,0.0
2017-07-03,98313,98313,98220,98259,98259,18620,0.0
2017-07-04,98289,98289,98092,98170,98170,15831,0.0
2017-07-05,98146,98170,98126,98136,98136,19488,0.0
2017-07-06,98136,98156,98096,98096,98096,14729,0.0
2017-07-07,98003,98013,97890,97939,97939,17254,0.0
2017-07-10,98037,98101,98032,98101,98101,11406,0.0
2017-07-11,98156,98160,98062,98160,98160,15663,0.0
2017-07-12,98239,98239,98195,98195,98195,14684,0.0
2017-07-13,98279,98333,98170,98333,98333,16183,0.0
2017-07-14,98264,98293,98244,98293,98293,29517,0.0
2017-07-17,98313,98313,98225,98225,98225,36601,0.0
2017-07-18,98269,98333,98200,98318,98318,32715,0.0
2017-07-19,98402,98402,98318,98372,98372,47050,0.0
2017-07-20,98495,98495,98269,98357,98357,38052,0.0
2017-07-21,98417,98486,98328,98461,98461,39903,0.0
2017-07-24,98451,98510,98451,98471,98471,96728,0.0
2017-07-25,98461,98530,98412,98510,98510,46155,0.0
2017-07-26,98550,98550,98392,98412,98412,31682,0.0
2017-07-27,98545,98545,98476,98515,98515,16040,0.0
2017-07-28,98535,98564,98490,98515,98515,15784,0.0
2017-07-31,98515,98525,98446,98500,98500,16260,0.0
2017-08-01,98412,98412,98412,98412,98412,0,0.0
2017-08-02,98362,98426,98362,98426,98426,280,0.0
2017-08-03,98446,98466,98436,98436,98436,78,0.0
2017-08-04,98486,98486,98446,98446,98446,808,0.0
2017-08-07,98357,98357,98343,98343,98343,555,0.0
2017-08-08,98328,98328,98220,98220,98220,235,0.0
2017-08-09,98126,98126,98126,98126,98126,1,0.0
2017-08-10,98052,98156,98052,98126,98126,256,0.0
2017-08-11,98215,98234,98195,98234,98234,112,0.0
2017-08-14,98323,98323,98259,98259,98259,2057,0.0
2017-08-16,98096,98165,98096,98165,98165,11,0.0
2017-08-17,98239,98244,98195,98195,98195,27,0.0
2017-08-18,98308,98313,98264,98264,98264,706,0.0
2017-08-21,98279,98318,98279,98293,98293,385,0.0
2017-08-22,98279,98279,98279,98279,98279,10,0.0
2017-08-23,98279,98279,98269,98269,98269,11,0.0
2017-08-24,98289,98367,98289,98328,98328,172,0.0
2017-08-25,98456,98456,98426,98426,98426,500,0.0
2017-08-28,98486,98486,98486,98486,98486,278,0.0
2017-08-29,98466,98466,98466,98466,98466,10,0.0
2017-08-30,98500,98500,98500,98500,98500,144,0.0
2017-08-31,98559,98564,98486,98520,98520,87,0.0
2017-09-01,98505,98510,98500,98500,98500,695,0.0
2017-09-04,97727,98318,97727,98318,98318,1454,0.0
2017-09-05,98441,98441,98289,98289,98289,383,0.0
2017-09-06,98338,98436,98338,98436,98436,6,0.0
2017-09-07,98510,98510,98505,98505,98505,200,0.0
2017-09-08,98628,98628,98609,98614,98614,155,0.0
2017-09-11,98614,98643,98614,98619,98619,345,0.0
2017-09-12,98584,98614,98584,98599,98599,57,0.0
2017-09-13,98604,98633,98559,98633,98633,110,0.0
2017-09-14,98633,98673,98614,98673,98673,219,0.0
2017-09-15,98663,98663,98663,98663,98663,11,0.0
2017-09-18,98643,98643,98643,98643,98643,506,0.0
2017-09-19,98584,98584,98555,98555,98555,11,0.0
2017-09-20,98495,98515,98495,98515,98515,129,0.0
2017-09-21,98555,98564,98481,98564,98564,61,0.0
2017-09-22,98569,98574,98515,98574,98574,126,0.0
2017-09-25,98604,98604,98604,98604,98604,680,0.0
2017-09-26,98540,98540,98461,98461,98461,11,0.0
2017-09-27,98367,98367,98298,98298,98298,11,0.0
2017-09-28,98215,98215,98077,98146,98146,508,0.0
2017-09-29,98234,98259,98225,98259,98259,261,0.0
2017-10-10,98151,98160,98106,98131,98131,3310,0.0
2017-10-11,98062,98077,98042,98042,98042,69,0.0
2017-10-12,98160,98160,98160,98160,98160,254,0.0
2017-10-13,98249,98249,98205,98205,98205,198,0.0
2017-10-16,98190,98215,98170,98170,98170,3713,0.0
2017-10-17,98141,98151,98121,98121,98121,5694,0.0
2017-10-18,98092,98131,98092,98131,98131,11,0.0
2017-10-19,98151,98170,98037,98057,98057,342,0.0
2017-10-20,97963,97963,97707,97811,97811,60,0.0
2017-10-23,97786,97786,97752,97781,97781,571,0.0
2017-10-24,97963,97963,97614,97776,97776,15,0.0
2017-10-25,97658,97658,97594,97594,97594,47,0.0
2017-10-26,97412,97545,97412,97431,97431,341,0.0
2017-10-27,97333,97333,97190,97333,97333,400,0.0
2017-10-30,97412,97412,97412,97412,97412,988,0.0
2017-10-31,97318,97318,97303,97303,97303,11,0.0
2017-11-01,97328,97328,97328,97328,97328,10,0.0
2017-11-02,97466,97491,97367,97481,97481,783,0.0
2017-11-03,97530,97540,97496,97496,97496,141,0.0
2017-11-06,97358,97358,97358,97358,97358,11,0.0
2017-11-07,97358,97358,97358,97358,97358,1,0.0
2017-11-08,97377,97422,97377,97422,97422,32,0.0
2017-11-09,97461,97461,97461,97461,97461,10,0.0
2017-11-10,97461,97461,97441,97441,97441,108,0.0
2017-11-13,97333,97363,97333,97363,97363,708,0.0
2017-11-14,97259,97338,97259,97269,97269,38,0.0
2017-11-15,97328,97328,97328,97328,97328,10,0.0
2017-11-16,97407,97436,97392,97417,97417,326,0.0
2017-11-17,97372,97397,97372,97377,97377,188,0.0
2017-11-20,97417,97456,97417,97456,97456,1207,0.0
2017-11-21,97456,97456,97456,97456,97456,0,0.0
2017-11-22,97431,97510,97417,97510,97510,69,0.0
2017-11-23,97550,97584,97550,97579,97579,549,0.0
2017-11-24,97619,97619,97599,97599,97599,199,0.0
2017-11-27,97589,97599,97579,97584,97584,1220,0.0
2017-11-28,97742,97742,97742,97742,97742,10,0.0
2017-11-29,97771,97771,97722,97722,97722,155,0.0
2017-11-30,97845,97894,97845,97894,97894,897,0.0
2017-12-01,97860,97949,97860,97949,97949,104,0.0
2017-12-04,97959,97963,97954,97963,97963,616,0.0
2017-12-05,97988,97988,97914,97914,97914,200,0.0
2017-12-06,97929,97929,97929,97929,97929,10,0.0
2017-12-07,98003,98013,97988,97988,97988,643,0.0
2017-12-08,97963,97998,97959,97978,97978,359,0.0
2017-12-11,97988,97993,97963,97978,97978,751,0.0
2017-12-12,98047,98067,98042,98067,98067,751,0.0
2017-12-13,98121,98126,98087,98096,98096,1538,0.0
2017-12-14,98116,98156,98077,98156,98156,493,0.0
2017-12-15,98175,98185,98156,98156,98156,597,0.0
2017-12-18,98215,98215,98190,98190,98190,855,0.0
2017-12-19,98136,98136,98136,98136,98136,10,0.0
2017-12-20,98052,98146,98052,98126,98126,233,0.0
2017-12-21,98032,98111,98032,98111,98111,489,0.0
2017-12-22,98082,98096,98052,98052,98052,505,0.0
2017-12-26,97993,97993,97954,97988,97988,1048,0.0
2017-12-27,98018,98018,97963,97998,97998,213,0.0
2017-12-28,97963,98013,97963,98013,98013,18,0.0
2018-01-02,98013,98042,97983,98042,98042,7787,0.0
2018-01-03,98023,98027,97978,98027,98027,139,0.0
2018-01-04,98047,98047,98013,98018,98018,105,0.0
2018-01-05,98013,98013,97993,98008,98008,849,0.0
2018-01-08,98067,98067,98027,98027,98027,151,0.0
2018-01-09,97963,97963,97963,97963,97963,0,0.0
2018-01-10,97762,97786,97717,97786,97786,115,0.0
2018-01-11,97762,97816,97757,97806,97806,243,0.0
2018-01-12,97850,97850,97816,97821,97821,1264,0.0
